,bmw,acura,audi,infiniti,honda,nissan,toyota,volkswagen,volvo,mercedes
bmw,1,1.26628664495114,1.7012163697043385,1.5673106956405336,1.2417786763512924,0.9756976238010178,1.4227413980306263,1.2192237002529434,1.5521500557462344,2.1311248180747104
acura,1.26628664495114,1,2.1889400921658986,2.3544520547945207,2.9813218390804597,1.641705069124424,1.4128352490421456,1.8156424581005586,2.5587248322147653,1.9946808510638299
audi,1.7012163697043385,2.1889400921658986,1,2.11739578730299,1.677348729629041,1.0618191084966766,2.0599019486672434,3.6900685666229007,3.9691130836400377,3.3500016341471386
infiniti,1.5673106956405336,2.3544520547945207,2.11739578730299,1,1.640161654332651,3.511457609999369,2.4930457145856297,1.865386087089615,2.7006527535165947,3.2333867677062083
honda,1.2417786763512924,2.9813218390804597,1.677348729629041,1.640161654332651,1,2.3836008263149533,2.93595220269814,2.4615252894967785,1.99285144899586,1.7832395858808185
nissan,0.9756976238010178,1.641705069124424,1.0618191084966766,3.511457609999369,2.3836008263149533,1,4.060949555943994,1.2872332209149653,1.391766925432221,1.5932934601431512
toyota,1.4227413980306263,1.4128352490421456,2.0599019486672434,2.4930457145856297,2.93595220269814,4.060949555943994,1,2.3545024508230057,2.185708040834169,3.4645797668541616
volkswagen,1.2192237002529434,1.8156424581005586,3.6900685666229007,1.865386087089615,2.4615252894967785,1.2872332209149653,2.3545024508230057,1,3.936860260207716,2.971591584452633
volvo,1.5521500557462344,2.5587248322147653,3.9691130836400377,2.7006527535165947,1.99285144899586,1.391766925432221,2.185708040834169,3.936860260207716,1,5.533342853062973
mercedes,2.1311248180747104,1.9946808510638299,3.3500016341471386,3.2333867677062083,1.7832395858808185,1.5932934601431512,3.4645797668541616,2.971591584452633,5.533342853062973,1
