,bmw,acura,audi,infiniti,honda,nissan,toyota,volkswagen,volvo,mercedes
bmw,0,0.7897106109324759,0.587814705882353,0.6380355871886121,0.8052964824120603,1.0249076923076923,0.7028684210526316,0.8201940298507463,0.6442676056338028,0.4692357723577236
acura,0.7897106109324759,0,0.4568421052631579,0.4247272727272727,0.33542168674698797,0.6091228070175438,0.7077966101694915,0.5507692307692308,0.3908196721311475,0.5013333333333333
audi,0.587814705882353,0.4568421052631579,0,0.47227826086956526,0.596178947368421,0.94178,0.48546,0.2709976744186047,0.25194545454545453,0.29850731707317074
infiniti,0.6380355871886121,0.4247272727272727,0.47227826086956526,0,0.609696,0.2847820224719101,0.4011157894736842,0.5360820512820513,0.3702808510638298,0.3092732394366197
honda,0.8052964824120603,0.33542168674698797,0.596178947368421,0.609696,0,0.4195333333333333,0.340605,0.40625217391304347,0.5017935483870968,0.5607771428571429
nissan,1.0249076923076923,0.6091228070175438,0.94178,0.2847820224719101,0.4195333333333333,0,0.24624782608695653,0.7768600000000001,0.7185111111111111,0.6276307692307692
toyota,0.7028684210526316,0.7077966101694915,0.48546,0.4011157894736842,0.340605,0.24624782608695653,0,0.42471818181818183,0.45751764705882353,0.28863529411764705
volkswagen,0.8201940298507463,0.5507692307692308,0.2709976744186047,0.5360820512820513,0.40625217391304347,0.7768600000000001,0.42471818181818183,0,0.2540095238095238,0.33652
volvo,0.6442676056338028,0.3908196721311475,0.25194545454545453,0.3702808510638298,0.5017935483870968,0.7185111111111111,0.45751764705882353,0.2540095238095238,0,0.18072258064516128
mercedes,0.4692357723577236,0.5013333333333333,0.29850731707317074,0.3092732394366197,0.5607771428571429,0.6276307692307692,0.28863529411764705,0.33652,0.18072258064516128,0
